keys,ko,en
첫 출근,첫 출근,First Day on the Job
1주차 월요일을 마친다.,1주차 월요일을 마친다.,Finish Week 1 · Monday.
뒷문,뒷문,The Back Door
처음으로 포켓몬을 뒷문으로 풀어준다.,처음으로 포켓몬을 뒷문으로 풀어준다.,Release a Pokémon out the back door for the first time.
보낸 사람 칸은 비워 두고,보낸 사람 칸은 비워 두고,Sender: Left Blank
처음으로 포켓몬을 주인에게 돌려보낸다.,처음으로 포켓몬을 주인에게 돌려보낸다.,Mail a Pokémon back to its owner for the first time.
분홍 리본,분홍 리본,Pink Ribbon
솜이를 집으로 돌려보낸다.,솜이를 집으로 돌려보낸다.,Send Fluffy back home.
경품 진열장,경품 진열장,Prize Counter
게임코너 진열장에서 초록이를 되찾는다.,게임코너 진열장에서 초록이를 되찾는다.,Win Greenie back from the Game Corner prize display.
아보크를 로사에게 보여 준다.,아보크를 로사에게 보여 준다.,Show Arbok to Jessie.
다락은 비어 있다,다락은 비어 있다,The Attic Is Empty
로이를 끝까지 숨겨 준다.,로이를 끝까지 숨겨 준다.,Keep James hidden to the very end.
같은 달 입사,같은 달 입사,Same-Month Hires
세나와 가까워진다.,세나와 가까워진다.,Grow close to Sena.
풀밭의 은혜,풀밭의 은혜,The Meadow Repays You
뒷문 풀밭에서 돌본 포켓몬에게 도움을 받는다.,뒷문 풀밭에서 돌본 포켓몬에게 도움을 받는다.,Get help from a Pokémon you cared for in the back meadow.
게임코너 슬롯에서 잭팟을 터뜨린다.,게임코너 슬롯에서 잭팟을 터뜨린다.,Hit the jackpot on a Game Corner slot machine.
내 방,내 방,A Room of My Own
백화점에서 원룸 물건 다섯 개를 전부 산다.,백화점에서 원룸 물건 다섯 개를 전부 산다.,Buy all five apartment items at the department store.
마지막 경고,마지막 경고,Final Warning
아폴로에게 마지막 경고를 받는다.,아폴로에게 마지막 경고를 받는다.,Receive a final warning from Archer.
한 식구,한 식구,One Family
뒷문 풀밭의 포켓몬을 원룸에 데려간다.,뒷문 풀밭의 포켓몬을 원룸에 데려간다.,Bring a Pokémon from the back meadow home to the apartment.
지급품의 반란,지급품의 반란,Revolt of the Standard Issue
포켓몬 배틀에서 처음으로 이긴다.,포켓몬 배틀에서 처음으로 이긴다.,Win a Pokémon battle for the first time.
옆집 애의 라이벌,옆집 애의 라이벌,The Neighbor Kid's Rival
그린을 배틀에서 이긴다.,그린을 배틀에서 이긴다.,Beat Blue in a battle.
안 읽는 게 편해,안 읽는 게 편해,Easier Not to Read
아폴로를 따라 성도로 간다.,아폴로를 따라 성도로 간다.,Follow Archer to Johto.
엔딩: 안 읽는 게 편해,엔딩: 안 읽는 게 편해,Ending: Easier Not to Read
기록 상자,기록 상자,The Record Box
기록 상자를 들고 경찰에게 간다.,기록 상자를 들고 경찰에게 간다.,Take the record box to the police.
엔딩: 기록 상자,엔딩: 기록 상자,Ending: The Record Box
마지막 트럭,마지막 트럭,The Last Truck
선배들과 마지막 트럭을 몰고 나간다.,선배들과 마지막 트럭을 몰고 나간다.,Drive the last truck out with your seniors.
엔딩: 마지막 트럭,엔딩: 마지막 트럭,Ending: The Last Truck
